スポーン X座標,スポーン Y座標,機体の種類,弾の種類,射撃パターン,アイテム,行動パターン,出現時間(s),発砲開始時間(s),発砲終了時間(s),帰還時間(s),帰還座標X,帰還座標Y,行動パターン　係数0,行動パターン　係数1,行動パターン　係数2,行動パターン　係数3,行動パターン　係数4,行動パターン　係数5,行動パターン　係数6,行動パターン　係数7,行動パターン　係数8,行動パターン　係数9,行動パターン　係数10,行動パターン　係数11,行動パターン　係数12
x,y,type,stype,s_pattern,item,m_pattern,in_time,start_fire_time,end_fire_time,out_time,outX,outY,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
int,int,int,int,int,int,int,float,float,float,float,double,double,int,int,int,int,int,int,int,int,int,int,int,int,int
200,200,100,100,0,0,0,5,7,20,22,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
201,202,200,200,0,1,0,10,12,25,27,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
202,204,300,300,0,2,0,15,17,30,32,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
203,206,100,100,0,3,0,20,22,35,37,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
204,208,200,200,0,4,0,25,27,40,42,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
205,210,300,300,0,5,0,30,32,45,47,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
206,212,100,100,0,1,0,35,37,50,52,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
207,214,200,200,0,2,0,40,42,55,57,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
208,216,300,300,0,3,0,45,47,60,62,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
209,218,100,100,0,4,0,50,52,65,67,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
210,220,200,200,0,5,0,55,57,70,72,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
211,222,300,300,0,1,0,60,62,75,77,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
212,224,100,100,0,2,0,65,67,80,82,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
213,226,200,200,0,3,0,70,72,85,87,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
214,228,300,300,0,4,0,75,77,90,92,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
215,230,100,100,0,5,0,80,82,95,97,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
216,232,200,200,0,1,0,85,87,100,102,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
217,234,300,300,0,2,0,90,92,105,107,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
218,236,100,100,0,3,0,95,97,110,112,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
219,238,200,200,0,4,0,100,102,115,117,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
220,240,300,300,0,5,0,105,107,120,122,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
221,242,100,100,0,1,0,110,112,125,127,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
222,244,200,200,0,2,0,115,117,130,132,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
223,246,300,300,0,3,0,120,122,135,137,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
224,248,100,100,0,4,0,125,127,140,142,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
225,250,200,200,0,5,0,130,132,145,147,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
226,252,300,300,0,1,0,135,137,150,152,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
227,254,100,100,0,2,0,140,142,155,157,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
228,256,200,200,0,3,0,145,147,160,162,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
229,258,300,300,0,4,0,150,152,165,167,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
230,260,100,100,0,5,0,155,157,170,172,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
231,262,200,200,0,1,0,160,162,175,177,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
232,264,300,300,0,2,0,165,167,180,182,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
233,266,100,100,0,3,0,170,172,185,187,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
234,268,200,200,0,4,0,175,177,190,192,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
235,270,300,300,0,5,0,180,182,195,197,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
236,272,100,100,0,1,0,185,187,200,202,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
237,274,200,200,0,2,0,190,192,205,207,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
238,276,300,300,0,3,0,195,197,210,212,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
239,278,100,100,0,4,0,200,202,215,217,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
240,280,200,200,0,5,0,205,207,220,222,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
241,282,300,300,0,1,0,210,212,225,227,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
242,284,100,100,0,2,0,215,217,230,232,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
243,286,200,200,0,3,0,220,222,235,237,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
244,288,300,300,0,4,0,225,227,240,242,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
245,290,100,100,0,5,0,230,232,245,247,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
246,292,200,200,0,1,0,235,237,250,252,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
247,294,300,300,0,2,0,240,242,255,257,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
248,296,100,100,0,3,0,245,247,260,262,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
249,298,200,200,0,4,0,250,252,265,267,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
250,300,300,300,0,5,0,255,257,270,272,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
251,302,100,100,0,1,0,260,262,275,277,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
252,304,200,200,0,2,0,265,267,280,282,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
253,306,300,300,0,3,0,270,272,285,287,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
254,308,100,100,0,4,0,275,277,290,292,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
255,310,200,200,0,5,0,280,282,295,297,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
256,312,300,300,0,1,0,285,287,300,302,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
257,314,100,100,0,2,0,290,292,305,307,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
258,316,200,200,0,3,0,295,297,310,312,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
259,318,300,300,0,4,0,300,302,315,317,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
260,320,100,100,0,5,0,305,307,320,322,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
261,322,200,200,0,1,0,310,312,325,327,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
262,324,300,300,0,2,0,315,317,330,332,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
263,326,100,100,0,3,0,320,322,335,337,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
264,328,200,200,0,4,0,325,327,340,342,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
265,330,300,300,0,5,0,330,332,345,347,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
266,332,100,100,0,1,0,335,337,350,352,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
267,334,200,200,0,2,0,340,342,355,357,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
268,336,300,300,0,3,0,345,347,360,362,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
269,338,100,100,0,4,0,350,352,365,367,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
270,340,200,200,0,5,0,355,357,370,372,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
271,342,300,300,0,1,0,360,362,375,377,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
272,344,100,100,0,2,0,365,367,380,382,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
273,346,200,200,0,3,0,370,372,385,387,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
274,348,300,300,0,4,0,375,377,390,392,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
275,350,100,100,0,5,0,380,382,395,397,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
276,352,200,200,0,1,0,385,387,400,402,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
277,354,300,300,0,2,0,390,392,405,407,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
278,356,100,100,0,3,0,395,397,410,412,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
279,358,100,100,0,4,0,400,402,415,417,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
280,360,100,100,0,5,0,405,407,420,422,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
281,362,100,100,0,1,0,410,412,425,427,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
282,364,100,100,0,2,0,415,417,430,432,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
283,366,100,100,0,3,0,420,422,435,437,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
284,368,100,100,0,4,0,425,427,440,442,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
285,370,100,100,0,5,0,430,432,445,447,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
286,372,100,100,0,1,0,435,437,450,452,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
287,374,100,100,0,2,0,440,442,455,457,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
288,376,100,100,0,3,0,445,447,460,462,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
289,378,100,100,0,4,0,450,452,465,467,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
290,380,100,100,0,5,0,455,457,470,472,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
291,382,100,100,0,1,0,460,462,475,477,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
292,384,100,100,0,2,0,465,467,480,482,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
293,386,100,100,0,3,0,470,472,485,487,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
294,388,100,100,0,4,0,475,477,490,492,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
295,390,100,100,0,5,0,480,482,495,497,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
296,392,100,100,0,1,0,485,487,500,502,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
297,394,100,100,0,2,0,490,492,505,507,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
298,396,100,100,0,3,0,495,497,510,512,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
