スポーン X座標,スポーン Y座標,機体の種類,弾の種類,射撃パターン,アイテム,行動パターン,出現時間(s),発砲開始時間(s),発砲終了時間(s),帰還時間(s),帰還座標X,帰還座標Y,行動パターン　係数0,行動パターン　係数1,行動パターン　係数2,行動パターン　係数3,行動パターン　係数4,行動パターン　係数5,行動パターン　係数6,行動パターン　係数7,行動パターン　係数8,行動パターン　係数9,行動パターン　係数10,行動パターン　係数11,行動パターン　係数12
x,y,type,stype,s_pattern,item,m_pattern,in_time,start_fire_time,end_fire_time,out_time,outX,outY,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
int,int,int,int,int,int,int,float,float,float,float,double,double,int,int,int,int,int,int,int,int,int,int,int,int,int
200,200,210,210,3,0,0,5,7,20,9999,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,210,210,2,1,0,10,12,25,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,110,110,2,2,0,15,17,30,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,1,3,0,20,22,35,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,1,4,0,25,27,40,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,1,5,0,30,32,45,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,35,37,50,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,2,0,40,42,55,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,3,0,45,47,60,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,50,52,65,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,5,0,55,57,70,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,1,0,60,62,75,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,65,67,80,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,3,0,70,72,85,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,4,0,75,77,90,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,80,82,95,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,1,0,85,87,100,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,2,0,90,92,105,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,95,97,110,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,4,0,100,102,115,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,5,0,105,107,120,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,110,112,125,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,2,0,115,117,130,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,3,0,120,122,135,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,125,127,140,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,5,0,130,132,145,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,1,0,135,137,150,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,140,142,155,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,3,0,145,147,160,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,4,0,150,152,165,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,155,157,170,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,1,0,160,162,175,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,2,0,165,167,180,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,170,172,185,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,4,0,175,177,190,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,5,0,180,182,195,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,185,187,200,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,2,0,190,192,205,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,3,0,195,197,210,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,200,202,215,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,5,0,205,207,220,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,1,0,210,212,225,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,215,217,230,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,3,0,220,222,235,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,4,0,225,227,240,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,230,232,245,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,1,0,235,237,250,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,2,0,240,242,255,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,245,247,260,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,4,0,250,252,265,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,5,0,255,257,270,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,260,262,275,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,2,0,265,267,280,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,3,0,270,272,285,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,275,277,290,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,5,0,280,282,295,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,1,0,285,287,300,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,290,292,305,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,3,0,295,297,310,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,4,0,300,302,315,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,305,307,320,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,1,0,310,312,325,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,2,0,315,317,330,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,320,322,335,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,4,0,325,327,340,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,5,0,330,332,345,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,335,337,350,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,2,0,340,342,355,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,3,0,345,347,360,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,350,352,365,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,5,0,355,357,370,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,1,0,360,362,375,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,365,367,380,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,3,0,370,372,385,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,4,0,375,377,390,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,380,382,395,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,200,0,1,0,385,387,400,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,300,300,0,2,0,390,392,405,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,395,397,410,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,400,402,415,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,405,407,420,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,410,412,425,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,415,417,430,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,420,422,435,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,425,427,440,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,430,432,445,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,435,437,450,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,440,442,455,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,445,447,460,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,450,452,465,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,455,457,470,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,460,462,475,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,465,467,480,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,470,472,485,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,4,0,475,477,490,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,5,0,480,482,495,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,1,0,485,487,500,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,2,0,490,492,505,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,100,0,3,0,495,497,510,0,360,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
