スポーン X座標,スポーン Y座標,機体の種類,弾の種類,射撃パターン,アイテム,行動パターン,出現時間(s),発砲開始時間(s),発砲終了時間(s),帰還時間(s),帰還座標X,帰還座標Y,行動パターン　係数0,行動パターン　係数1,行動パターン　係数2,行動パターン　係数3,行動パターン　係数4,行動パターン　係数5,行動パターン　係数6,行動パターン　係数7,行動パターン　係数8,行動パターン　係数9,行動パターン　係数10,行動パターン　係数11,行動パターン　係数12
x,y,type,stype,s_pattern,item,m_pattern,in_time,start_fire_time,end_fire_time,out_time,outX,outY,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
int,int,int,int,int,int,int,float,float,float,float,double,double,int,int,int,int,int,int,int,int,int,int,int,int,int
180,-50,301,302,0,0,2,6,8,18,19,180,-200,5,0,20,180,190,90,190,270,190,90,190,270,190
360,-50,301,302,0,2,2,6,8,18,19,360,-200,5,0,20,360,190,270,190,450,190,270,190,450,190
540,-50,301,302,0,0,2,6,8,18,19,540,-200,5,0,20,540,190,450,190,630,190,450,190,630,190
90,-50,301,302,0,0,2,8,10,20,21,90,-200,5,0,20,90,100,0,100,180,100,0,100,180,100
270,-50,301,302,0,3,2,8,10,20,21,270,-200,5,0,20,270,100,180,100,360,100,180,100,360,100
450,-50,301,302,0,0,2,8,10,20,21,450,-200,5,0,20,450,100,360,100,550,100,360,100,550,100
-20,100,303,301,0,2,0,13,14,16,18,900,100,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,200,303,301,0,4,0,13.2,14.2,16.2,18.2,900,200,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,300,303,301,0,3,0,13.4,14.4,16.4,18.4,900,300,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,400,303,301,0,0,0,13.6,14.6,16.6,18.6,900,400,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,500,303,301,0,0,0,13.8,14.8,16.8,18.8,900,500,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,600,303,301,0,2,0,14,15,17,19,900,600,0,0,0,0,0,0,0,0,0,0,0,0,0
750,100,303,301,0,4,0,14.2,15.2,17.2,19.2,-100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
750,200,303,301,0,2,0,14.4,15.4,17.4,19.4,-100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
750,300,303,301,0,3,0,14.6,15.6,17.6,19.6,-100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
750,400,303,301,0,0,0,14.8,15.8,17.8,19.8,-100,400,0,0,0,0,0,0,0,0,0,0,0,0,0
750,500,303,301,0,0,0,15,16,18,20,-100,500,0,0,0,0,0,0,0,0,0,0,0,0,0
750,600,303,301,0,2,0,15.2,16.2,18.2,20.2,-100,600,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,300,101,102,0,0,2,22,22.5,50,50,360,-200,5,0,20,300,300,420,400,820,400,420,400,300,300
-200,300,101,102,0,2,2,22,22.5,50,50,360,-200,5,0,20,300,300,420,400,820,400,420,400,300,300
-450,300,101,102,0,0,2,22,22.5,50,50,360,-200,5,0,20,300,300,420,400,820,400,420,400,300,300
-600,300,101,102,0,3,2,22,22.5,50,50,360,-200,5,0,20,300,300,420,400,820,400,420,400,300,300
820,300,101,102,0,0,2,22,22.5,50,50,360,-200,5,0,20,420,300,300,200,-100,200,300,200,420,300
970,300,101,102,0,4,2,22,22.5,50,50,360,-200,5,0,20,420,300,300,200,-100,200,300,200,420,300
1120,300,101,102,0,0,2,22,22.5,50,50,360,-200,5,0,20,420,300,300,200,-100,200,300,200,420,300
1270,300,101,102,0,1,2,22,22.5,50,50,360,-200,5,0,20,420,300,300,200,-100,200,300,200,420,300
180,-150,105,105,2,2,2,32,32,60,60,180,-200,5,0,20,180,850,180,-150,180,850,180,-150,180,850
360,-350,105,105,2,5,2,32,32,60,60,360,-200,5,0,20,360,850,360,-150,360,850,360,-150,360,850
540,-550,105,105,2,3,2,32,32,60,60,540,-200,5,0,20,540,850,540,-150,540,850,540,-150,540,850
360,-150,305,305,1,0,0,39,40,50,50,360,-150,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,360,205,205,1,3,0,39,40,50,50,-100,360,0,0,0,0,0,0,0,0,0,0,0,0,0
870,360,205,205,1,3,0,39,40,50,50,870,360,0,0,0,0,0,0,0,0,0,0,0,0,0
360,850,305,305,1,0,0,39,40,50,50,360,850,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-100,202,203,3,1,2,48,48,65,65,180,-100,5,0,20,180,150,180,150,180,150,180,150,180,150
360,-100,202,203,3,2,2,49,49,66,66,360,-100,5,0,20,360,150,360,150,360,150,360,150,360,150
540,-100,202,203,3,3,2,50,50,67,67,540,-100,5,0,20,540,150,540,150,540,150,540,150,540,150
180,850,202,203,3,4,2,51,51,68,68,180,850,5,0,20,180,720,180,720,180,720,180,720,180,720
360,850,202,203,3,5,2,52,52,69,69,360,850,5,0,20,360,720,360,720,360,720,360,720,360,720
540,850,102,103,3,2,2,53,53,70,70,540,850,5,0,20,540,720,540,720,540,720,540,720,540,720
-100,200,104,104,4,1,2,70,70,85,85,-100,200,5,0,20,120,200,120,200,120,200,120,200,120,200
-100,650,204,204,4,4,2,70,70,85,85,-100,650,5,0,20,120,650,120,650,120,650,120,650,120,650
820,350,204,204,4,2,2,78,78,93,93,820,350,5,0,20,600,350,600,350,600,350,600,350,600,350
820,650,304,204,4,3,2,78,78,93,93,820,500,5,0,20,600,500,600,500,600,500,600,500,600,500
60,-150,103,101,0,2,0,90,90,110,110,60,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
160,-150,103,101,0,4,0,90.5,90.5,110.5,110.5,160,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
260,-150,103,101,0,0,0,91,91,111,111,260,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
360,-150,103,101,0,5,0,91.5,91.5,111.5,111.5,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
460,-150,103,101,0,0,0,92,92,112,112,460,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
560,-150,103,101,0,4,0,92.5,92.5,112.5,112.5,560,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
660,-150,103,101,0,2,0,93,93,113,113,660,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
100,-100,304,304,4,3,2,95,95,130,130,100,-100,5,0,20,100,150,100,150,100,150,100,150,100,150
230,-100,304,304,4,2,2,96,96,130,130,230,-100,5,0,20,230,150,230,150,230,150,230,150,230,150
360,-100,304,304,4,1,2,97,97,130,130,360,-100,5,0,20,360,150,360,150,360,150,360,150,360,150
490,-100,304,304,4,2,2,98,98,130,130,490,-100,5,0,20,490,150,490,150,490,150,490,150,490,150
620,-100,304,304,4,3,2,99,99,130,130,620,-100,5,0,20,620,150,620,150,620,150,620,150,620,150
-100,-100,103,101,0,0,0,115,116,140,140,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,380,103,101,0,1,0,115,116,140,140,-100,380,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,570,103,101,0,0,0,115,116,140,140,-100,570,0,0,0,0,0,0,0,0,0,0,0,0,0
360,-100,103,101,0,4,0,115,116,140,140,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
820,100,103,101,0,1,0,115,116,140,140,820,100,0,0,0,0,0,0,0,0,0,0,0,0,0
820,380,103,101,0,0,0,115,116,140,140,820,380,0,0,0,0,0,0,0,0,0,0,0,0,0
820,570,103,101,0,5,0,115,116,140,140,820,570,0,0,0,0,0,0,0,0,0,0,0,0,0
820,860,103,101,0,0,0,115,116,140,140,820,860,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-150,306,306,0,0,2,121,122,150,150,180,-100,5,0,20,180,150,540,500,180,680,180,150,180,150
360,-100,306,306,0,2,2,121,122,150,150,360,-100,5,0,20,360,150,360,500,360,680,360,150,360,150
540,-200,306,306,0,2,2,121,122,150,150,540,-100,5,0,20,540,150,180,500,540,680,540,150,540,150
-100,570,106,106,1,1,0,129,130,160,160,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
100,860,106,106,1,5,0,129,130,160,160,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,570,201,202,0,0,2,132,133,165,165,100,570,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,670,201,202,0,0,2,132,133,165,165,100,670,0,0,0,0,0,0,0,0,0,0,0,0,0
100,860,201,202,0,0,2,132,133,165,165,-100,860,0,0,0,0,0,0,0,0,0,0,0,0,0
100,860,201,202,0,0,2,132,133,165,165,-100,860,0,0,0,0,0,0,0,0,0,0,0,0,0
820,100,305,305,2,0,2,140,141,170,170,360,900,5,0,20,360,200,160,400,360,200,160,400,360,200
820,200,105,105,2,3,2,140,141,170,170,360,900,5,0,20,510,300,310,500,510,300,310,500,510,300
820,300,205,205,2,0,2,140,141,170,170,360,900,5,0,20,660,400,460,600,660,400,460,600,660,400
250,250,305,305,0,1,0,150,382,233,233,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-200,107,107,5,5,2,160,160,180,180,180,-200,5,0,20,180,200,180,400,180,200,180,400,180,200
360,-150,307,307,5,3,0,160,160,180,180,360,-150,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-200,107,107,5,3,2,160,160,180,180,540,-200,5,0,20,180,400,180,200,180,400,180,200,180,400
-100,-100,208,208,6,1,2,165,166,190,200,-100,-100,5,0,30,860,820,-150,-150,360,-150,360,820,780,380
-200,360,308,308,6,5,2,165,166,190,200,-200,360,5,0,30,780,380,860,820,-150,-150,360,-150,360,820
850,850,108,108,6,1,2,165,166,190,200,850,850,5,0,30,-150,-150,360,-150,360,820,780,380,860,820
180,-200,209,209,7,0,2,175,176,999999,999999,180,-200,5,0,20,100,100,180,250,360,100,540,250,620,100
540,-200,110,110,8,0,0,175,176,999999,999999,540,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
360,-200,311,311,9,0,2,175,176,999999,999999,360,-200,5,0,30,360,760,760,0,0,570,760,200,360,0
180,-100,101,102,0,5,0,185,185,200,205,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-100,201,202,0,2,0,191,191,206,211,540,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-100,301,302,0,3,0,197,197,212,217,180,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-100,101,102,0,4,0,203,203,218,223,540,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-100,201,202,0,5,0,209,209,224,229,180,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-100,301,302,0,1,0,215,215,230,235,540,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-100,101,102,0,1,0,221,221,236,241,180,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-100,201,202,0,2,0,227,227,242,247,540,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-100,301,302,0,3,0,233,233,248,253,180,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-100,101,102,0,4,0,239,239,254,259,540,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
