スポーン X座標,スポーン Y座標,機体の種類,弾の種類,射撃パターン,アイテム,行動パターン,出現時間(s),発砲開始時間(s),発砲終了時間(s),帰還時間(s),帰還座標X,帰還座標Y,行動パターン　係数0,行動パターン　係数1,行動パターン　係数2,行動パターン　係数3,行動パターン　係数4,行動パターン　係数5,行動パターン　係数6,行動パターン　係数7,行動パターン　係数8,行動パターン　係数9,行動パターン　係数10,行動パターン　係数11,行動パターン　係数12
x,y,type,stype,s_pattern,item,m_pattern,in_time,start_fire_time,end_fire_time,out_time,outX,outY,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
int,int,int,int,int,int,int,float,float,float,float,double,double,int,int,int,int,int,int,int,int,int,int,int,int,int
180,-50,311,311,9,0,2,6,8,30,30,180,-200,5,0,20,180,190,90,190,270,190,90,190,270,190
360,-50,202,203,3,2,2,30,32,54,54,360,-200,5,0,20,360,190,270,190,450,190,270,190,450,190
540,-50,201,103,3,0,2,54,56,78,78,540,-200,5,0,20,540,190,450,190,630,190,450,190,630,190
90,-50,301,302,0,0,2,8,10,20,21,90,-200,5,0,20,90,100,0,100,180,100,0,100,180,100
270,-50,301,302,0,3,2,8,10,20,21,270,-200,5,0,20,270,100,180,100,360,100,180,100,360,100
450,-50,301,302,0,0,2,8,10,20,21,450,-200,5,0,20,450,100,360,100,550,100,360,100,550,100
-20,100,303,301,0,0,0,13,14,16,18,900,100,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,200,303,301,0,4,0,13.2,14.2,16.2,18.2,900,200,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,300,303,301,0,0,0,13.4,14.4,16.4,18.4,900,300,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,400,303,301,0,0,0,13.6,14.6,16.6,18.6,900,400,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,500,303,301,0,0,0,13.8,14.8,16.8,18.8,900,500,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,600,303,301,0,2,0,14,15,17,19,900,600,0,0,0,0,0,0,0,0,0,0,0,0,0
750,100,303,301,0,4,0,14.2,15.2,17.2,19.2,-100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
750,200,303,301,0,0,0,14.4,15.4,17.4,19.4,-100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
750,300,303,301,0,0,0,14.6,15.6,17.6,19.6,-100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
750,400,303,301,0,0,0,14.8,15.8,17.8,19.8,-100,400,0,0,0,0,0,0,0,0,0,0,0,0,0
750,500,303,301,0,0,0,15,16,18,20,-100,500,0,0,0,0,0,0,0,0,0,0,0,0,0
750,600,303,301,0,2,0,15.2,16.2,18.2,20.2,-100,600,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,206,206,0,3,0,59,97,62,62,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,207,207,0,4,0,62,102,65,65,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,208,208,0,5,0,65,107,68,68,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,209,209,0,1,0,68,112,71,71,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,210,210,0,2,0,71,117,74,74,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,211,211,0,3,0,74,122,77,77,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,300,300,0,4,0,77,127,80,80,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,301,302,0,5,0,80,132,83,83,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,302,303,0,1,0,83,137,86,86,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,303,301,0,2,0,86,142,89,89,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,304,304,0,3,0,89,147,92,92,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,305,305,0,4,0,92,152,95,95,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,306,306,0,5,0,95,157,98,98,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,307,307,0,1,0,98,162,101,101,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,308,308,0,2,0,101,167,104,104,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,309,309,0,3,0,104,172,107,107,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,310,310,0,4,0,107,177,110,110,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,311,311,0,5,0,110,182,113,113,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,100,100,0,1,0,113,187,116,116,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,101,102,0,2,0,116,192,119,119,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,102,103,0,3,0,119,197,122,122,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,103,101,0,4,0,122,202,125,125,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,104,104,0,5,0,125,207,128,128,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,105,105,0,1,0,128,212,131,131,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,106,106,0,2,0,131,217,134,134,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,107,107,0,3,0,134,222,137,137,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,108,108,0,4,0,137,227,140,140,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,109,109,0,5,0,140,232,143,143,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,110,110,0,1,0,143,237,146,146,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,111,111,0,2,0,146,242,149,149,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,200,200,0,3,0,149,247,152,152,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,201,202,0,4,0,152,252,155,155,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,202,203,0,5,0,155,257,158,158,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,203,201,0,1,0,158,262,161,161,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,204,204,0,2,0,161,267,164,164,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,205,205,0,3,0,164,272,167,167,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,206,206,0,4,0,167,277,170,170,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,207,207,0,5,0,170,282,173,173,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,208,208,0,1,0,173,287,176,176,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,209,209,0,2,0,176,292,179,179,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,210,210,0,3,0,179,297,182,182,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,211,211,0,4,0,182,302,185,185,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,300,300,0,5,0,185,307,188,188,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,301,302,0,1,0,188,312,191,191,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,302,303,0,2,0,191,317,194,194,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,303,301,0,3,0,194,322,197,197,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,304,304,0,4,0,197,327,200,200,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,305,305,0,5,0,200,332,203,203,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,306,306,0,1,0,203,337,206,206,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,307,307,0,2,0,206,342,209,209,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,308,308,0,3,0,209,347,212,212,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,309,309,0,4,0,212,352,215,215,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,310,310,0,5,0,215,357,218,218,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,311,311,0,1,0,218,362,221,221,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,100,100,0,2,0,221,367,224,224,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,101,200,0,3,0,224,372,227,227,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,102,300,0,4,0,227,377,230,230,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,103,100,0,5,0,230,382,233,233,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,104,200,0,1,0,233,387,236,236,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,105,300,0,2,0,236,392,239,239,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,106,100,0,3,0,239,397,242,242,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,107,100,0,4,0,242,402,245,245,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,108,100,0,5,0,245,407,248,248,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,109,100,0,1,0,248,412,251,251,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,110,100,0,2,0,251,417,254,254,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,111,100,0,3,0,254,422,257,257,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,200,100,0,4,0,257,427,260,260,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,201,100,0,5,0,260,432,263,263,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,202,100,0,1,0,263,437,266,266,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,203,100,0,2,0,266,442,269,269,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,204,100,0,3,0,269,447,272,272,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,205,100,0,4,0,272,452,275,275,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,206,100,0,5,0,275,457,278,278,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,207,100,0,1,0,278,462,281,281,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,208,100,0,2,0,281,467,284,284,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,209,100,0,3,0,284,472,287,287,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,210,100,0,4,0,287,477,290,290,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,211,100,0,5,0,290,482,293,293,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,300,100,0,1,0,293,487,296,296,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
