スポーン X座標,スポーン Y座標,機体の種類,弾の種類,射撃パターン,アイテム,行動パターン,出現時間(s),発砲開始時間(s),発砲終了時間(s),帰還時間(s),帰還座標X,帰還座標Y,行動パターン　係数0,行動パターン　係数1,行動パターン　係数2,行動パターン　係数3,行動パターン　係数4,行動パターン　係数5,行動パターン　係数6,行動パターン　係数7,行動パターン　係数8,行動パターン　係数9,行動パターン　係数10,行動パターン　係数11,行動パターン　係数12
x,y,type,stype,s_pattern,item,m_pattern,in_time,start_fire_time,end_fire_time,out_time,outX,outY,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
int,int,int,int,int,int,int,float,float,float,float,double,double,int,int,int,int,int,int,int,int,int,int,int,int,int
200,200,100,100,0,0,0,5,5,8,8,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,101,102,0,1,0,8,8,11,11,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,102,103,0,2,0,11,11,14,14,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,103,101,0,3,0,14,14,17,17,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,104,104,0,4,0,17,17,20,20,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,105,105,0,5,0,20,20,23,23,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,106,106,0,1,0,23,23,26,26,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,107,107,0,2,0,26,26,29,29,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,108,108,0,3,0,29,29,32,32,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,109,109,0,4,0,32,32,35,35,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,110,110,0,5,0,35,35,38,38,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,111,111,0,1,0,38,38,41,41,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,200,200,0,2,0,41,41,44,44,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,201,202,0,3,0,44,44,47,47,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,202,203,0,4,0,47,47,50,50,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,203,201,0,5,0,50,50,53,53,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,204,204,0,1,0,53,53,56,56,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,205,205,0,2,0,56,56,59,59,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,206,206,0,3,0,59,59,62,62,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,207,207,0,4,0,62,62,65,65,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,208,208,0,5,0,65,65,68,68,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,209,209,0,1,0,68,68,71,71,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,210,210,0,2,0,71,71,74,74,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,211,211,0,3,0,74,74,77,77,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,300,300,0,4,0,77,77,80,80,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,301,302,0,5,0,80,80,83,83,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,302,303,0,1,0,83,83,86,86,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,303,301,0,2,0,86,86,89,89,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,304,304,0,3,0,89,89,92,92,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,305,305,0,4,0,92,92,95,95,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,306,306,0,5,0,95,95,98,98,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,307,307,0,1,0,98,98,101,101,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,308,308,0,2,0,101,101,104,104,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,309,309,0,3,0,104,104,107,107,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,310,310,0,4,0,107,107,110,110,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,311,311,0,5,0,110,110,113,113,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,100,100,0,1,0,113,113,116,116,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,101,102,0,2,0,116,116,119,119,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,102,103,0,3,0,119,119,122,122,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,103,101,0,4,0,122,122,125,125,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,104,104,0,5,0,125,125,128,128,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,105,105,0,1,0,128,128,131,131,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,106,106,0,2,0,131,131,134,134,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,107,107,0,3,0,134,134,137,137,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,108,108,0,4,0,137,137,140,140,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,109,109,0,5,0,140,140,143,143,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,110,110,0,1,0,143,143,146,146,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,111,111,0,2,0,146,146,149,149,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,200,200,0,3,0,149,149,152,152,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,201,202,0,4,0,152,152,155,155,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,202,203,0,5,0,155,155,158,158,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,203,201,0,1,0,158,158,161,161,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,204,204,0,2,0,161,161,164,164,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,205,205,0,3,0,164,164,167,167,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,206,206,0,4,0,167,167,170,170,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,207,207,0,5,0,170,170,173,173,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,208,208,0,1,0,173,173,176,176,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,209,209,0,2,0,176,176,179,179,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,210,210,0,3,0,179,179,182,182,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,211,211,0,4,0,182,182,185,185,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,300,300,0,5,0,185,185,188,188,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,301,302,0,1,0,188,188,191,191,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,302,303,0,2,0,191,191,194,194,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,303,301,0,3,0,194,194,197,197,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,304,304,0,4,0,197,197,200,200,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,305,305,0,5,0,200,200,203,203,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,306,306,0,1,0,203,203,206,206,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,307,307,0,2,0,206,206,209,209,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,308,308,0,3,0,209,209,212,212,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,309,309,0,4,0,212,212,215,215,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,310,310,0,5,0,215,215,218,218,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,311,311,0,1,0,218,218,221,221,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,100,100,0,2,0,221,221,224,224,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,101,200,0,3,0,224,224,227,227,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,102,300,0,4,0,227,227,230,230,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,103,100,0,5,0,230,230,233,233,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,104,200,0,1,0,233,233,236,236,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,105,300,0,2,0,236,236,239,239,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,106,100,0,3,0,239,239,242,242,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,107,100,0,4,0,242,242,245,245,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,108,100,0,5,0,245,245,248,248,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,109,100,0,1,0,248,248,251,251,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,110,100,0,2,0,251,251,254,254,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,111,100,0,3,0,254,254,257,257,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,200,100,0,4,0,257,257,260,260,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,201,100,0,5,0,260,260,263,263,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,202,100,0,1,0,263,263,266,266,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,203,100,0,2,0,266,266,269,269,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,204,100,0,3,0,269,269,272,272,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,205,100,0,4,0,272,272,275,275,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,206,100,0,5,0,275,275,278,278,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,207,100,0,1,0,278,278,281,281,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,208,100,0,2,0,281,281,284,284,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,209,100,0,3,0,284,284,287,287,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,210,100,0,4,0,287,287,290,290,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,211,100,0,5,0,290,290,293,293,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,300,100,0,1,0,293,293,296,296,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
250,200,301,100,0,2,0,296,296,299,299,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,302,100,0,3,0,299,299,302,302,360,-200,0,0,0,0,0,0,0,0,0,0,0,0,0
