スポーン X座標,スポーン Y座標,機体の種類,弾の種類,射撃パターン,アイテム,行動パターン,出現時間(s),発砲開始時間(s),発砲終了時間(s),帰還時間(s),帰還座標X,帰還座標Y,行動パターン　係数0,行動パターン　係数1,行動パターン　係数2,行動パターン　係数3,行動パターン　係数4,行動パターン　係数5,行動パターン　係数6,行動パターン　係数7,行動パターン　係数8,行動パターン　係数9,行動パターン　係数10,行動パターン　係数11,行動パターン　係数12
x,y,type,stype,s_pattern,item,m_pattern,in_time,start_fire_time,end_fire_time,out_time,outX,outY,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
int,int,int,int,int,int,int,float,float,float,float,double,double,int,int,int,int,int,int,int,int,int,int,int,int,int
180,-50,101,102,0,2,2,5,5,20,20,180,-50,5,0,20,180,190,90,190,270,190,90,190,270,190
360,-50,201,202,0,3,2,5,5,20,20,360,-50,5,0,20,360,190,270,190,450,190,270,190,450,190
540,-50,301,302,0,4,2,5,5,20,20,540,-50,5,0,20,540,190,450,190,630,190,450,190,630,190
180,860,102,103,3,1,2,15,15,35,35,180,-50,5,0,20,180,700,180,600,180,700,180,600,180,700
360,860,202,203,3,5,2,15,15,35,35,360,-50,5,0,20,360,650,360,650,360,650,360,650,360,650
540,860,302,303,3,1,2,15,15,35,35,540,-50,5,0,20,540,600,540,700,540,600,540,700,540,600
-50,100,303,301,0,1,0,25,25,50,50,-50,100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,200,303,301,0,2,0,25,25,50,50,-50,200,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,300,303,301,0,3,0,25,25,50,50,-50,300,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,400,303,301,0,4,0,25,25,50,50,-50,400,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-100,103,101,0,5,0,30,30,55,55,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
180,-100,103,101,0,4,0,30,30,55,55,180,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
360,-100,103,101,0,3,0,30,30,55,55,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
540,-100,103,101,0,2,0,30,30,55,55,540,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
720,-100,103,101,0,1,0,30,30,55,55,720,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,100,203,203,0,2,0,35,35,60,60,760,100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,200,203,203,0,3,0,35,35,60,60,760,200,0,0,0,0,0,0,0,0,0,0,0,0,0
760,300,203,203,0,4,0,35,35,60,60,760,300,0,0,0,0,0,0,0,0,0,0,0,0,0
760,400,203,203,0,0,0,35,35,60,60,760,400,0,0,0,300,300,420,400,820,400,420,400,300,300
760,500,203,203,0,0,0,35,35,60,60,760,500,0,0,0,300,300,420,400,820,400,420,400,300,300
180,-100,104,104,4,1,1,40,40,65,65,180,-100,5,0,20,180,300,540,700,640,700,640,-200,640,-200
360,-200,304,304,4,5,1,40,40,65,65,360,-200,5,0,20,360,400,360,700,360,700,360,-200,360,-200
540,-300,204,204,4,2,1,40,40,65,65,543,-300,5,0,20,540,500,180,700,80,700,80,-200,80,-200
-100,-100,105,102,2,2,2,50,50,75,75,-100,-100,5,0,20,700,200,60,400,700,600,60,400,700,200
360,-100,305,102,2,3,0,50,50,75,75,360,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,206,102,2,4,2,50,50,75,75,860,860,5,0,20,60,600,700,400,60,200,700,400,60,600
180,-150,106,105,2,2,2,60,32,60,60,180,-200,5,0,20,180,850,180,-150,180,850,180,-150,180,850
360,-350,106,105,2,5,2,60,32,60,60,360,-200,5,0,20,360,850,360,-150,360,850,360,-150,360,850
540,-550,306,105,2,3,2,65,32,60,60,540,-200,5,0,20,540,850,540,-150,540,850,540,-150,540,850
360,-150,306,301,1,0,0,65,40,50,50,360,-150,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,360,206,205,1,3,0,70,40,50,50,-100,360,0,0,0,0,0,0,0,0,0,0,0,0,0
870,360,206,205,1,3,0,70,40,50,50,870,360,0,0,0,0,0,0,0,0,0,0,0,0,0
360,-100,109,109,7,0,2,75,75,99999,99999,0,0,5,0,20,360,200,180,300,540,300,360,200,360,200
760,-100,101,102,0,1,0,85,85,110,110,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,2,2,95,95,115,115,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,103,101,0,3,0,105,105,120,120,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
360,860,201,202,0,4,0,115,115,125,125,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,202,203,3,5,2,125,125,130,130,860,860,5,0,20,760,760,760,760,760,760,760,760,760,760
760,-100,203,201,0,1,0,135,135,135,135,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,301,302,0,2,0,145,145,140,140,760,-100,5,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,302,303,3,3,2,155,155,145,145,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,303,301,0,4,0,165,165,150,150,360,860,5,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,101,102,0,5,0,175,175,155,155,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,1,2,185,185,160,160,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,103,101,0,2,0,195,195,165,165,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
360,860,201,202,0,3,0,205,205,170,170,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,202,203,3,4,2,215,215,175,175,860,860,5,0,20,760,760,760,760,760,760,760,760,760,760
760,-100,203,201,0,5,0,225,225,180,180,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,301,302,0,1,0,235,235,185,185,760,-100,5,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,302,303,3,2,2,245,245,190,190,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,303,301,0,3,0,255,255,195,195,360,860,5,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,101,102,0,4,0,265,265,200,200,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,5,2,275,275,205,205,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,103,101,0,1,0,285,285,210,210,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
360,860,201,202,0,2,0,295,295,215,215,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,202,203,3,3,2,305,305,220,220,860,860,5,0,20,760,760,760,760,760,760,760,760,760,760
760,-100,203,201,0,4,0,315,315,225,225,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,301,302,0,5,0,325,325,230,230,760,-100,5,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,302,303,3,1,2,335,335,235,235,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,303,301,0,2,0,345,345,240,240,360,860,5,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,101,102,0,3,0,355,355,245,245,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,4,2,365,365,250,250,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,103,101,0,5,0,375,375,255,255,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
360,860,201,202,0,1,0,385,385,260,260,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,202,203,3,2,2,395,395,265,265,860,860,5,0,20,760,760,760,760,760,760,760,760,760,760
760,-100,203,201,0,3,0,405,405,270,270,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,301,302,0,4,0,415,415,275,275,760,-100,5,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,302,303,3,5,2,425,425,280,280,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,303,301,0,1,0,435,435,285,285,360,860,5,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,101,102,0,2,0,445,445,290,290,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,3,2,455,455,295,295,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,103,101,0,4,0,465,465,300,300,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
360,860,201,202,0,5,0,475,475,305,305,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,202,203,3,1,2,485,485,310,310,860,860,5,0,20,760,760,760,760,760,760,760,760,760,760
760,-100,203,201,0,2,0,495,495,315,315,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,301,302,0,3,0,505,505,320,320,760,-100,5,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,302,303,3,4,2,515,515,325,325,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,303,301,0,5,0,525,525,330,330,360,860,5,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,101,102,0,1,0,535,535,335,335,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,2,2,545,545,340,340,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,103,101,0,3,0,555,555,345,345,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
360,860,201,202,0,4,0,565,565,350,350,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,202,203,3,5,2,575,575,355,355,860,860,5,0,20,760,760,760,760,760,760,760,760,760,760
760,-100,203,201,0,1,0,585,585,360,360,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,301,302,0,2,0,595,595,365,365,760,-100,5,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,302,303,3,3,2,605,605,370,370,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,303,301,0,4,0,615,615,375,375,360,860,5,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,101,102,0,5,0,625,625,380,380,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,1,2,635,635,385,385,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,103,101,0,2,0,645,645,390,390,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
360,860,201,202,0,3,0,655,655,395,395,360,860,0,0,0,0,0,0,0,0,0,0,0,0,0
860,860,202,203,3,4,2,665,665,400,400,860,860,5,0,20,760,760,760,760,760,760,760,760,760,760
760,-100,203,201,0,5,0,675,675,405,405,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,301,302,0,1,0,685,685,410,410,760,-100,5,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,302,303,3,2,2,695,695,415,415,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
360,860,303,301,0,3,0,705,705,420,420,360,860,5,0,0,0,0,0,0,0,0,0,0,0,0
760,-100,101,102,0,4,0,715,715,425,425,760,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-50,102,103,3,5,2,725,725,430,430,-50,-50,5,0,20,100,100,100,100,100,100,100,100,100,100
